"date","county","state","jail_population","resident_population","cases","deaths","jail_incarceration_rate_per_100k","urbanicity","tot_pop","male_perc","female_perc","white_pop_perc","black_pop_perc","asian_pop_perc","hisp_pop_perc","age_oto4","age_5to14_perc","age_15to24_perc","age_25to34_perc","age_35to44_perc","age_45to54_perc","age_55to64_perc","age_65to74_perc","age_75to84_perc","age_84plus_perc","lowrisk_agegroup_perc","highrisk_agegroup_perc","land_area","population_density","pop_infection_rate","cluster"
2020-03-20,"Ramsey","North Dakota",54,11519,1,0,468.8,"rural",11481,0.503701768138664,0.496298231861336,0.879365908892954,0.0141973695671109,0.0101907499346747,0.0268269314519641,810,0.129605435066632,0.119240484278373,0.1178468774497,0.103736608309381,0.112272450135006,0.147983625119763,0.105827018552391,0.0601863949133351,0.0327497604738263,0.801236826060448,0.198763173939552,1186.85,9.67350549774614,8.68130914141853e-05,"3"
2020-03-31,"Bledsoe","Tennessee",118,15064,2,0,783.3,"rural",14755,0.58942731277533,0.41057268722467,0.919213825821755,0.0781430023720773,0.00420196543544561,0.0245340562521179,600,0.0805150796340224,0.102677058624195,0.137851575737038,0.147543205692985,0.151812944764487,0.154388342934598,0.111080989495086,0.0559810233819044,0.0174855981023382,0.815452389020671,0.184547610979329,406.43,36.3039145732352,0.000132766861391397,"3"
2020-03-31,"Bradley","Tennessee",341,108110,10,0,315.4,"small/mid",106727,0.486212486062571,0.513787513937429,0.928012592877154,0.06279573116456,0.0147479082144162,0.0633860222811472,6134,0.120906612197476,0.135551453708996,0.127924517694679,0.12288361895303,0.134858095889513,0.129170687829696,0.0991689075866463,0.0537539704104866,0.0183083943144659,0.828768727688401,0.171231272311599,328.76,324.634992091495,9.24983812783276e-05,"3"
2020-03-31,"Cannon","Tennessee",39,14678,3,0,265.7,"suburban",14462,0.496888397178813,0.503111602821187,0.972825335361637,0.0250311160282119,0.00573917853685521,0.0248928225694925,869,0.117411146452773,0.110703913704882,0.127852302586088,0.11340063614991,0.145138984926013,0.142096528834186,0.106624256672659,0.0572534919098327,0.0194302309500761,0.816692020467432,0.183307979532568,265.64,54.4421020930583,0.000204387518735523,"3"
2020-03-31,"Cheatham","Tennessee",74,40667,10,0,182,"suburban",40439,0.496871831647667,0.503128168352333,0.968495759044487,0.0269541778975741,0.00808625336927224,0.0322955562699374,2335,0.123272088825144,0.114715991987932,0.127599594450901,0.126437350082841,0.151116496451445,0.149434951408294,0.0970844976384184,0.0406043670713915,0.0119933727342417,0.850317762555948,0.149682237444052,302.44,133.709165454305,0.000245899623773576,"3"
2020-03-31,"Claiborne","Tennessee",172,31959,2,0,538.2,"rural",31756,0.48904144098753,0.51095855901247,0.976665826930344,0.0164693286308099,0.00906915228618214,0.0127849855145484,1585,0.105649326111601,0.125078725280262,0.125897468194987,0.114718478397783,0.136163244741151,0.143122559516312,0.121173951379267,0.060807406474367,0.0174770122181635,0.800541629928203,0.199458370071797,434.58,73.0728519490082,6.25801808567227e-05,"3"
2020-03-31,"Cocke","Tennessee",95,36004,1,0,263.9,"rural",35774,0.483283949236876,0.516716050763124,0.967350589813831,0.0303292894280763,0.00609381114776094,0.0251858891932689,1889,0.114580421535193,0.1057751439593,0.110275619164757,0.109520881086823,0.14088444121429,0.155503997316487,0.128892491753788,0.064068876837927,0.0176944149382233,0.789344216470062,0.210655783529938,434.57,82.3204547023495,2.77746917009221e-05,"3"
2020-03-31,"Dickson","Tennessee",279,53948,17,0,517.2,"suburban",53446,0.491112524791378,0.508887475208622,0.945833177412716,0.0531003255622498,0.00896231710511544,0.0371215806608539,3210,0.129719717097631,0.117389514650301,0.129177113348052,0.125116940463271,0.138607192306253,0.13798974666018,0.0975002806571118,0.0482917337125323,0.0161471391685065,0.838060846461849,0.161939153538151,489.9,109.095733823229,0.000315118262030103,"3"
2020-03-31,"Dyer","Tennessee",183,37159,3,0,492.5,"rural",37320,0.482154340836013,0.517845659163987,0.843944265809218,0.154715969989282,0.00978027867095391,0.0355573419078242,2328,0.134244372990354,0.1244640943194,0.122883172561629,0.117175777063237,0.133092175777063,0.129823151125402,0.104608788853162,0.0527331189710611,0.0185959271168274,0.82406216505895,0.17593783494105,512.33,72.8436749751137,8.07341424688501e-05,"3"
2020-03-31,"Fentress","Tennessee",131,18523,1,0,707.2,"rural",18217,0.488005708953176,0.511994291046824,0.987429324257562,0.00795959817752649,0.0046110775649119,0.0163034528187956,965,0.116813964977768,0.112532250096064,0.101059449964319,0.107372234725806,0.139100839874842,0.150573640006587,0.137618707800406,0.0651589174946479,0.0167974968436076,0.780424877861338,0.219575122138662,498.61,36.5355688814905,5.39869351616909e-05,"3"
2020-03-31,"Grundy","Tennessee",61,13427,4,0,454.3,"rural",13346,0.494680053948749,0.505319946051251,0.983066087217144,0.00914131575003746,0.00494530196313502,0.013936760077926,753,0.118837104750487,0.115015735051701,0.110744792447175,0.118687247115241,0.13224936310505,0.138543383785404,0.123932264348869,0.066836505319946,0.0187322044058145,0.790499025925371,0.209500974074629,360.53,37.017723906471,0.000297907201906606,"3"
2020-03-31,"Hardeman","Tennessee",67,25050,1,0,267.5,"rural",25220,0.546312450436162,0.453687549563838,0.566098334655036,0.430531324345757,0.00971451229183188,0.017644726407613,1317,0.108604282315623,0.122045995241872,0.14746233148295,0.127398889770024,0.128905630452022,0.132474226804124,0.108762886597938,0.0535289452815226,0.0185963521015067,0.819111816019032,0.180888183980967,667.77,37.7674947961124,3.99201596806387e-05,"3"
